CRSE_ID,CRSE_SUBJECT,CRSE_NBR,CRSE_TITLE,CRSE_DESCRIPTION
6495,HCI,422,MULTIMEDIA,"Multimedia interface design. Underlying technological issues including synchronization and coordination of multiple media, file formats for images, animations, sound and text. Hypertext. Information organization. Survey of multimedia authoring software. Topics in long distance multimedia (World Wide Web). Students will critique existing applications and create several multimedia applications.  PREREQUISITE(S): HCI 440 or consent of the instructor."
11143,ECT,424,ENTERPRISE INFRASTRUCTURE,"Introduction to modern infrastructure and the evolving technology environment.  Major topics include: computer networks, Internet infrastructure, Web 2.0, Enterprise 2.0, social media and networking, software as a service, content management systems, cloud computing,  and portal."
8304,IS,430,FUNDAMENTALS OF IT PROJECT MANAGEMENT,"This course concentrates on monitoring, managing and controlling assets and resources on a single IT project.  Topics covered are risk management; procurement and contract management; time and cost estimating; controlling and tracking techniques; quality assurance; testing and audit.  Students will use common project management software for resource allocation and balancing. PREREQUISITE(S): None"
6414,SE,430,OBJECT ORIENTED MODELING,"Object-oriented modeling techniques for analysis and design. Provides the tools and techniques needed to solve complex, real-world software engineering problems in an object-oriented manner, using the most effective elements of the Unified Process. The course covers the essential concepts and notation of the Unified Modeling Language (UML), the standard notation for object-oriented analysis and design. Team project. PREREQUISITE(S): CSC 403"
6496,HCI,430,PROTOTYPING AND IMPLEMENTATION,Overview of prototyping methods ranging from low-fidelity to interactive script-based prototypes.  Analysis of prototyping tools and their relative advantages.  Projects include prototype  development over multiple iterations using a variety of strategies.  PREREQUISITE(S): IT 411.  Students must have completed or be concurrently enrolled in HCI 440 or HCI 441 to register for this course.
12734,IS,431,DIGITAL PRODUCT MANAGEMENT,This course focuses on the central role of the Product Manager in creating and sustaining compelling products and services throughout the product lifecycle. Special emphasis is placed on the creation and management of intangible technology products and services throughout the entire product management lifecycle. Product managers act as the focal point for value creation within their organizations leading cross functional product activities from the conception of an idea to the ultimate product retirement. PREREQUISITE(S): None
6415,SE,431,MODEL-DRIVEN SOFTWARE DEVELOPMENT,"Advanced methods and techniques in software specification, modeling, and model-driven development.  Topics include approaches to software specification and modeling, formal specification languages, techniques for structural and behavioral modeling of software systems, and tools for analysis and transformation of software systems.  PREREQUISITE(S): SE 430 or SE 450"
9952,IT,432,WEB ARCHITECTURE,"Overview of Web application development for non-programmers.  Hands-on exposure to the Model, View, Controller (MVC) framework using a common web framework.  Topics include HTML/CSS, data modeling, authentication, AJAX and security issues.  Students create and modify dynamic web sites.  PREREQUISITE(S): IT 411"
6397,IS,433,INFORMATION SECURITY MANAGEMENT,"Managing information assets and the security function. Emphasis on managing security-related risk, as well as the process of developing, implementing, and maintaining organizational policies, standards, procedures, and guidelines as they relate to security. Role of the CISO. Identifying and evaluating information assets, threats, and vulnerabilities. Quantitative and qualitative risk analysis, risk mitigation, residual risk, and risk resolution, as they relate to information security. Incident response. Consideration of the role and implementation of security controls during the process of analysis, design, and development. The application of policy development principles to security risk management. Introduction to compliance, as well as the CISSP domains.  PREREQUISITE(S): None"
6416,SE,433,SOFTWARE TESTING AND QUALITY ASSURANCE,"This course is designed for the software engineering professional to gain a greater understanding of the key ingredients in creating and/or managing a successful testing program to meet project needs.  Topics covered include test lifecycle planning, test design & coverage analysis, complexity, levels of testing such as unit, integration, system, performance and stress testing.  Best practice strategies in software testing such as verification & validation, early lifecycle testing, risk based testing and automation will also be examined including exposure to test automation methods and tools. PREREQUISITE(S): CSC 403"
10036,IS,435,ORGANIZATIONAL MODELING,"The course explores contemporary approaches to analyzing and modeling organizational problems, processes, workflow, users and data.  The emphasis is on the initial stages of analysis where the root cause of problems are identified, formulated and modeled.  Students will acquire an array of modeling skills and be able to prescribe the proper modeling approach based on a variety of organizational and contextual factors.  Business process modeling, management and metrics will be covered.  Object-oriented and user-centered approaches will be introduced. PREREQUISITE(S):  IS 421 or SE 430"
6406,SE,435,DISTRIBUTED SYSTEMS I,"An introduction to distributed systems. Topics may include: architecture of distributed systems; networking; datagram-oriented and stream-oriented protocols; network programming (for example, the sockets API); remote procedure call and remote method invocation; processes and threads; code migration; software agents; naming of non-mobile and mobile entities; cryptography and security.  PREREQUISITE(S): CSC 403 and CSC 407"
11162,ECT,436,SOCIAL MARKETING AND SOCIAL NETWORKING APPLICATIONS,"Online social media and culture, online social marketing concepts, online social networking applications and their design/development.  Students develop dynamic web sites and applications on social networking platforms using server-side programming technology to meet strategic marketing goals.  PREREQUISITE(S): None"
6388,IS,440,COLLABORATIVE TECHNOLOGIES FOR LEADING PROJECTS,"Study of the process of virtual teaming with emphasis on facilitation of different time project activities and facilitation of same time meetings.  Students will learn how small group psychology and group communication theories inform specific behaviors in the design and leadership of meetings.  Several meeting types including information briefing, focus group, document writing, decision making, requirements gathering, and teaching/training will be explored.  In addition, the course surveys current collaboration technologies and discusses how toselect among those technologies usability and fit to purpose of a meeting agenda.  DL students may be required to schedule same time sessions with the instructor and other DL students; see current quarter syllabus for more information on this point.  PREREQUISITE(S): None"
6497,HCI,440,INTRODUCTION TO USER-CENTERED DESIGN,"The user-interface development process. Introduction to methods for practicing user-centered design including user and task analysis, user interface design principles and testing using low-fidelity prototypes. Students may not receive credit for this course and HCI 441.  PREREQUISITE(S): None"
13366,HCI,441,INTRODUCTION TO USER-CENTERED DEVELOPMENT,"Overview of the user-centered design (UCD) process with an additional emphasis on user interface development. Coverage of UCD process includes effective, low-cost methods for user research, interaction design and evaluation. User interface development involves application of front-end development languages (HTML and JavaScript) and frameworks (jQery). This course is offered to students with programming experience as an alternative to IT 411 and HCI 440. Students may not receive credit for this course and HCI 440.  PREREQUISITE(S): CSC 403"
14273,SE,441,CONTINUOUS DELIVERY AND DEVOPS,"A study of the tools, techniques, and processes used in continuous delivery and DevOps. Students will learn to transform an organization that uses traditional software release methods into one that embraces continuous delivery and deployment. Topics will include: the economics of DevOps and continuous delivery; the role of virtualization, cloud technologies, and containers; automated builds and testing; value stream maps; the essentials of configuration management; effective use of source code control branches and feature flags to manage multiple lines of development; organizational factors affecting the success of continuous delivery and DevOps adoption including: culture, team organization, collaboration, and software development practices. PREREQUISITE(S): CSC 403"
10825,IS,444,IT AUDITING,"Management and boards continue to recognize the importance of effectively managing information technology (IT) assets - to meet business objectives and to thoughtfully manage IT related business risks.  This course examines the key principles related to auditing information technology processes and related controls and is designed to meet the ever increasing needs of IT audit and IT governance professionals.  In addition, this course aids in the preparation for the Certified Information Systems Auditor (CISA) exam.  PREREQUISITE(S): None"
6492,HCI,445,INQUIRY METHODS AND USE ANALYSIS,"This course provides students with the skills necessary to acquire and organize user information for the purpose of developing task and systems analyses.   Topics covered include survey construction and administration, structured observation, interviewing, and participatory design.  Students learn to evaluate and organize user information toward making analysis and design decisions.  Human communication and presentation skills are developed.  PREREQUISITE(S): IT 403 and (HCI 440 or HCI 441)"
1967,CS,447,CURRICULUM DESIGN FOR THE MIDDLE GRADES,"This course is designed to provide students with a comprehensive understanding of the history of and rationale for middle level education as well as the curricular and pedagogical knowledge needed to meaningfully engage middle level students in learning within and across the content areas. Important considerations and strategies for disciplinary and interdisciplinary learning in the middle school classroom, as well as the importance of reading and writing across the curriculum with regard to these, will be addressed."
6417,SE,450,OBJECT-ORIENTED SOFTWARE DEVELOPMENT,"Principle, techniques and tools of object-oriented modeling, design, implementation, and testing of large-scale software systems.  Topics include design patterns, application frameworks, architectural design, and the applications in the software development process to improve the extensibility, maintainability, and reliability of software systems.  PREREQUISITE(S): CSC 403"
6499,HCI,450,FOUNDATIONS OF HUMAN-COMPUTER INTERACTION,"Application of engineering and psychological theory to the design of computer systems. Overview of applicable research methods and research on perception, cognition, errors, and screen design. Attention will be given to creating and applying guidelines derived from research. PREREQUISITE(S): IT 403"
6630,IS,450,ENTERPRISE SYSTEM IMPLEMENTATION,"Formerly IS 450.  This course is targeted towards information systems professionals who are involved in the planning and implementation of large scale, cross-functional enterprise systems.  Students will examine the characteristics of technology efforts that change and transform the way people perform their tasks and how the new technology structures the flows of information and decision making using workflow modeling methods.   Through case studies and exercises students gain insights into the elements of successful implementations leading to the preparation of a change management plan.  Emphasis is placed on developing mechanisms for communicating and training all affected agents.  PREREQUISITE(S):  IS 430 or PM 430 or completion of five or more other SoC MS level courses should contact the course instructor or an advisor."
13741,IS,452,BIG DATA & THE INTERNET OF THINGS (IoT),"This course surveys system design concepts, techniques, and algorithms in Machine to Machine (M2M), Internet of Things (IoT), and Internet of Everything (IoE). Topics covered include system architecture for big data, sensors and embedded technologies, IoT architecture, consumer vs. industrial IoT, wearable and mobile systems, tracking systems, IoT and big data analytics, market dynamics and entrepreneurial opportunities. Special emphasis is placed on identifying best practices in using big data and IoT through case studies and hands-on exercises.  PREREQUISITE(S): None"
6591,SE,452,OBJECT-ORIENTED ENTERPRISE COMPUTING,"This course focuses on applying object-oriented techniques in the design, development, and integration of server-side enterprise  applications using technologies such as servlets, Java Server Pages,  and JDBC. Topics include web applications, multi-tier architecture,  model-view-controller architecture, database connectivity, and  security. PREREQUISITE(S): CSC 403"
9599,SE,453,ARCHITECTURE AND FRAMEWORKS FOR DEVELOPING CLIENT APPLICATIONS,"This course will focus on software architectures, frameworks, and techniques for developing web-based thin client applications as well as rich desktop client applications. Topics will include discussion on design and architectural patterns, such as model-view-controller pattern; survey of widely used development frameworks for building client applications, such as Struts, Java Server Face (JSF), Swing, and SWT, etc.; discussion of widely used techniques such as AJAX;   evaluation of the strengths and weaknesses of these technologies for making technology decisions. Students will gain hands-on experiences in developing applications that utilizes these frameworks and techniques.   Prerequisite: SE 452."
8711,HCI,454,INTERACTION DESIGN AND INFORMATION ARCHITECTURE,"Information architecture and interactive page design. Perception and use of menus, labels and user controls. Structuring information for navigation and presentation. Selecting and placing user controls for optimizing task flow on pages and across pages. Creating wire frames and using content managers. PREREQUISITE(S): HCI 406 and (HCI 440 or HCI 441)"
10849,IS,455,ELECTRONIC BUSINESS,"An introduction to electronic business. The topics include business models, technologies, business and social impact of e-business.  It explores the tools, skills, business and social implications of emerging electronic business.  In addition to acquiring basic skills for identifying electronic business opportunities and creating a presence in the online marketplace, the student reexamines fundamental processes of business as they are performed in cyberspace in contrast to the marketplace.  This helps them understand changes as the cyberspace grows increasingly important in the global economy. PREREQUISITE(S): None.  For Kellstadt students or students pursuing the MS in Business Information Technology only."
6443,ECT,455,E-COMMERCE WEB SITE ENGINEERING,"(Formerly ECT 555, cross-listed with HCI 513) An introduction to Web site engineering methods and processes to support e-commerce development.  Web site engineering life cycle and user-centered design, including site goals,  business models, value propositions, user analysis, information architecture, interface and navigation design, usability guidelines, database, testing, hosting strategies, usage metrics, and collaborative development.  Technologies for e-commerce, shopping cart, digital payments, promotion strategies, and security issues.  Students will build fully functional Web sites using database and client- and server-side technologies.  PREREQUISITE(S): CSC 401 or IT 411 or HCI 430"
8968,SE,456,ARCHITECTURE OF REAL-TIME SYSTEMS,"This course discusses the principles, styles, and patterns of real-time software architecture. Trade-offs and ramifications of software architecture with respect to performance, maintainability, and reusability, will be explored. The course will also investigate the design and implementation of real-time behavior and constraints for Common Design Patterns such as Observer, Visitor, and Strategy. Finally, the course will demonstrate how creation of real-time Data Driven environment allows the run-time object data to control the behavior and flow of an application. These topics will be discussed in the context of best practices in software engineering such as iterative development, testing, and continuous integration.   PREREQUISITE(S): CSC 403"
8320,IS,456,SYSTEMS THINKING PERSPECTIVE FOR UNDERSTANDING BUSINESS DYNAMICS,This course introduces students to systems thinking and system dynamics modeling for the analysis of business strategy and decision making. Students will learn how to use systems thinking and modeling to visualize and analyze organizations and institutions in terms of the structures and policies that create dynamics and regulate performance. The course will draw on system dynamics modeling and simulation concepts and tools as well as real-world case studies to explain the management of business dynamics. PREREQUISITE(S): IS 421
9600,SE,457,SERVICE-ORIENTED ARCHITECTURE,"An in-depth study of service oriented architecture (SOA) from the business, architectural, and technology perspectives. The business perspective will explain the imperatives behind SOA and discuss the significance of SOA in industry. The architectural perspective will discuss the different architectural models of software development and contrast these with SOA. The technology perspective will provide students with the opportunity to gain the required hands-on experience to analyze, design, implement and deploy SOA solutions that will meet both functional and non-functional requirements. Major topics include software architectures in practice, SOA development lifecycle, Enterprise Service Bus, SOA analysis and design methods, Web Services, and governance. Prerequisite: SE 450 or CSC 435"
11115,SE,459,AGILE SOFTWARE DEVELOPMENT,"This course focuses on the fundamentals, principles, tools, and techniques in agile software development.  Students will gain hands-on experiences in agile software development through projects dealing with various aspects of agile development, including planning, construction, testing, and integration. Students will be able to effectively participate in and manage agile software development as a result of their successfully completing this course.  PREREQUISITE(S): SE 450"
6500,HCI,460,USABILITY EVALUATION METHODS,"Survey of evaluation methods that can be applied to user interfaces. Methods include expert inspections, walkthroughs, usability testing and analytical approaches. Students evaluate existing systems by applying some of these methods. PREREQUISITE(S): IT 403 and (HCI 440 or HCI 441)"
1975,CS,460,LEARNING IN A TECHNOLOGY-SUPPORTED  CLASSROOM,An examination of current theories about instructional technology and of recent literature in the field.  Students will become familiar with particular technology appropriate for their areas of interest and will learn to evaluate this technology for a variety of instructional purposes.  The course includes: frameworks for classifying educational uses of the technology; an analysis of selected research on educational technology; theories and practices of using technology in classrooms; and the advantages and disadvantages of distance learning.  Emphasis throughout will be on why and how technology can be used to enhance the learning process.
8803,CS,461,LITERACY PROCESSES AND PRACTICES,"Foundational theoretical perspectives and practices for teaching and learning language and literacy in a diverse, changing, and political world. Background of knowledge in the area of learning and exposure to the controversies that surround the teaching of literacy will be used to develop an understanding of literacy learning in action. Students will be invited to participate in the current conversations around literacy learning and teaching in order to inform their everyday curricular decisions."
8876,CS,463,"ASSESSMENT, DIAGNOSIS, DEVELOPMENTAL/REMEDIAL MATERIALS & RESOURCES: EMERGENT & DEVELOPING READING","Assessment, diagnosis and instructional planning for early and emergent learners. Building on a knowledge base of emergent reading processes and literacy practices, teachers will explore the ways in which young learners construct meaning and use language purposefully in their unique social worlds, even before beginning school. Participants in this course will learn to use performance based assessments as well as more formal standardized measures of achievement to support emerging and struggling readers with appropriate materials and theoretically sound instructional practices."
8877,CS,464,"ASSESSMENT, DIAGNOSIS, DEVELOPMENTAL/REMEDIAL MATERIALS & RESOURCES:MIDDLE SCHOOL/ADOLESCENT READING","Assessment, diagnosis and instructional planning for middle school students. Building on a knowledge base of reading processes and literacy practices, teachers will explore the ways in which students construct meaning and use language purposefully in their unique social worlds. Participants in this course will learn to use performance based assessments as well as more formal standardized measures of achievement to support middle school and adolescent readers with appropriate materials and theoretically sound instructional practices."
9813,CS,465,TEACHING READING IN THE CONTENT AREAS,"This course focuses on teaching reading in various subject (content) areas and emphasizes non-fiction reading process, strategies, and theories for grades K-9. The course will examine what it means to be literate in the elementary content areas (e.g. science, math, social studies, arts). Emphasis will be placed on learning effective literacy strategies for different subject areas.  There will also be a focus on how one uses reading and writing to think, act, speak, question, and apply the tools of each content/subject area in ways that are unique to that discipline.  Additionally, as teachers it is important to remember that students will bring various literacies from their homes and communities.  An important emphasis will be on creating learning environments that honor student diversity, and learning about multiple ways of knowing, acting, and communicating."
7519,IS,467,FUNDAMENTALS OF DATA SCIENCE,"An introduction to the Knowledge Discovery Technologies covering all stages of a data mining process: domain understanding, data collection and selection, data cleaning and transformation, dimensionality reduction, pattern discovery, evaluation, and knowledge extraction.  The course provides a comprehensive overview of data mining techniques used to realize these stages, including traditional statistical analysis and machine learning techniques.  Students will analyze large datasets and develop modeling solutions to support decision making in various domains such as healthcare, finance, security, marketing, customer relationship management (CRM), and multimedia.  PREREQUISITE(S): IT 403 or CSC 423"
6423,SE,468,SOFTWARE MEASUREMENT/PROJECT ESTIMATION,"Software metrics. Productivity, effort and defect models. Software cost estimation.  PREREQUISITE(S): IT 403 and (SE430 or SE450)"
7584,CS,470,TEACHERS AS LEADERS,"Assists teachers in becoming leaders for positive change in schools and districts. Provides overview of major theoretical models in research on teaching and teacher leadership, historical perspectives on the teaching profession, and overview of select best practice in teacher collaboration, mentoring and coaching. Specific topics addressed may include: developing leadership among existing teaching staff; fostering professional collaboration; improving instruction school-wide; organizing colleagues, administrators, parents and students to improve achievement; fostering sustainability in teaching/fighting teacher attrition; teaching standards; team teaching; and curriculum mapping."
6625,HCI,470,DIGITAL DESIGN,"Focus on the visual aspects of interfaces for information and communication technologies (ICTs). Evaluate, critique and create ICT interfaces using design principles. Learn to choose color, type, layout and imagery to create aesthetic and usable ICT interfaces. Introduction to information visualization. Applying course concepts, students create and develop their own web-based portfolio.  PREREQUISITE(S): HCI 402 and HCI 406"
7585,CS,471,DIVERSITY IN THE CLASSROOM,"Examines issues related to diversity that result when students from diverse socioeconomic, cultural, linguistic, and academic backgrounds are in the same classroom. Explores the impact of inclusion, ESL, bilingual, and bicultural programs on instruction. Emphasis on developing strategies to meet individual student needs within the regular classroom."
7586,CS,472,"ETHICS, CURRICULUM AND SOCIAL CHANGE","Explores some major issues impacting curriculum, including cultural and socioeconomic factors, legal issues, conflicting values, pressures for assessment, and the push to include technology. Examines the historical development and current state of education in the U.S. as compared to education in other cultures. Emphasis on ways that educators can work as change agents within the competing demands of these forces."
7587,CS,473,ASSESSMENT,"Explores current theory and practice regarding alternate forms of assessment, including formal, standardized, and informal tests and inventories; selection, evaluation, and interpretation of tests used in educational settings; portfolio assessment, video performances, and presentations; preparation and use of teacher-made tests; evaluating outcomes; and utilizing data to improve instruction.  The critical examination of multiple perspectives of assessment theories, policies and practices center around the emphasis on developing strategies to evaluate student progress."
12340,SE,475,MANAGING GLOBALLY DISTRIBUTED SOFTWARE DEVELOPMENT,"Managing Globally Distributed Software Development (GDSD) for IT projects.  Issues associated with time zone differences, infrastructure support, geographical dispersion, and lack of centralized communication.  The course will focus on the management, implementation and deployment of software within the context of outsourced, distributed development, and insourced projects.  Additional topics include strategic management issues such as justification, vetting, consulting services and partnerships.  Course will include several hands-on distributed development projects. PREREQUISITE(S):  CSC 403"
8304,IS,477,FUNDAMENTALS OF IT PROJECT MANAGEMENT,"This course concentrates on monitoring, managing and controlling assets and resources on a single IT project.  Topics covered are risk management; procurement and contract management; time and cost estimating; controlling and tracking techniques; quality assurance; testing and audit.  Students will use common project management software for resource allocation and balancing. PREREQUISITE(S): None"
6425,SE,477,SOFTWARE AND SYSTEMS PROJECT MANAGEMENT,"Project Management is presented from a practitioner's view.  The four basic building blocks of software project management: people, process, tools, and measurements are covered.  Special emphasis is placed on professional standards such as the Project Management Book of Knowledge and IEEE Software Engineering Standards.   Specific topics include Managing People, Selecting Project Tools, Leadership & Motivation, Software Development Processes, Estimation, Risk Analysis, Scheduling and Tracking, Leveraging Measurements, and Project Completion.  Consideration is given to rapid development and project cultural issues. PREREQUISITE(S): Knowledge of the Software development life cycle model, for example through courses such as SE430, ECT455, IS425, MIS555 or through appropriate work experience."
6426,SE,480,SOFTWARE ARCHITECTURE I,"The Software Architecture process is concerned with describing, evaluating, and designing systems at the architectural level. This course will discuss the role of architecture and the architect in the software development cycle. It will introduce architectural patterns and tactics, architecture assessment techniques, architecture driven design, and techniques for documenting architectures. The course will involve design, development, and assessment activities.  PREREQUISITE(S): SE 450"
6444,ECT,480,INTRANETS AND PORTALS,"Intranet development methodology. Data warehousing concept and On-Line analytic processing (OLAP) for information management.  Enterprise information portals (EIP).  Transforming information into knowledge.  Major applications involve: decision support, customer applications and content personalization for intranet.  Students will conduct case studies and projects.  PREREQUISITE(S):  ECT 424"
1978,CS,481,THE STUDY OF TEACHERS AND TEACHING,"A selective survey and analysis of research on teachers and teaching. Particular emphasis will be placed on the assumptions which are built into various forms of research and the effect these assumptions have on how results should be interpreted and used in supervision and curriculum development.  Each student will be expected to become familiar with alternative ways of studying teachers and the teaching process in his/her area of expertise.  While many school settings will be utilized because of the many studies done in this area, research in non-school settings will be given a good deal of emphasis."
6445,ECT,481,INTERNET SUPPLY CHAIN MANAGEMENT,"This course examines system architectures, technologies, approaches, and infrastructure requirements in the context of supply chain systems. The focus is on the design, development and implementation of systems that facilitate the collaboration of an enterprise with its buyers and suppliers. Topics include development of messaging-based collaboration framework with web services. Students will design and implement a collaborative extranet system component in team projects. PREREQUISITE(S): CSC 401 or IT 411"
7741,SE,482,REQUIREMENTS ENGINEERING,"Requirements Engineering (RE) plays a critical role in the software development process.  This course will introduce related vocabulary, concepts, and techniques, and will examine the role of RE in software and systems engineering.  The course will cover topics related to eliciting, validating, negotiating, analyzing, specifying, and managing requirements.  Popular RE tools will also be introduced.   Prerequisite: SE430 or SE450."
1979,CS,482,THE HISTORY OF CURRICULUM PRACTICE,A survey of trends and movements in curriculum practice. Particular emphasis will be placed on the recurrent nature of curriculum practices and the reasons for this. The class will consider underlying models of curriculum practice in their historical settings as possible methods for meeting contemporary social needs as well as the assets and liabilities of these models.
1979,CS,482,THE HISTORY OF CURRICULUM PRACTICE,A survey of trends and movements in curriculum practice. Particular emphasis will be placed on the recurrent nature of curriculum practices and the reasons for this. The class will consider underlying models of curriculum practice in their historical settings as possible methods for meeting contemporary social needs as well as the assets and liabilities of these models.
6384,IS,482,LEGAL RESPONSIBILITIES IN INFORMATION TECHNOLOGY,"This course examines the legal standards to which people and organizations are held under laws and regulations that concern computing and information technology. This course is a complement to CNS 477, which focuses on governance policies and business costs. Topics include government and laws, business regulations, healthcare regulations, education regulations, data breach reporting and notification, privacy laws, laws of search and seizure, freedom of speech and association, defamation, cyber crimes, contracts, and intellectual property.  PREREQUISITE(S): None"
6385,IS,483,INFORMATION SERVICES AND OPERATIONS,"This course focuses on the operational aspects of information systems in organizations by examining the concepts, tools and techniques available to IS professionals responsible for the delivery of IT services.  Topics include the organization of the IT services; the procurement of hardware, software and vendor services; operation of data centers, help desks and user training, the development and use of RFPs (Request for Proposals) and SLAs (Service Level Agreements),  the integration of services and operations with application development project needs, and the role of capital and operating budgets.  PREREQUISITE(S):  Completion of five or more SoC MS level courses is required."
1981,CS,484,MULTIMEDIA MATERIALS PRODUCTION,"This course will analyze the role of multimedia materials in instruction.  A variety of media will be explored (including software, internet, audio, video, and film).  Students will be expected to manipulate a variety of images and produce sample materials for critique and analysis.  The primary focus will be on enhancing learning in elementary and secondary schools."
6628,ECT,484,WEB DATA MINING (FORMERLY ECT 584),"An in-depth study of the knowledge discovery process and its applications in Web mining, Web analytics and business intelligence.  The course provides coverage of various aspects of data collection and preprocessing, as well as basic data mining techniques for segmentation, classification, predictive modeling, association analysis, and sequential pattern discovery.  The primary focus of the course is the application of these techniques to Web analytics, user behavior modeling, e-metrics for business intelligence, Web personalization and recommender systems.  Also addressed are privacy and ethical issues related to Web data mining.  Students can choose from three types of final course projects: implementation projects, research papers, or data analysis projects.  Throughout the course, the students will learn and use a variety of data mining tools to analyze sample data sets as part of class assignments. PREREQUISITE(S): IT 403 AND (CSC 451 or CSC 453 or DSC 450)"
1982,CS,485,CURRICULUM/PROGRAM EVALUATION,"Evaluation is essential for curriculum/program development and implementation. Hence, understanding evaluation methods, technologies, and quality criteria is particularly relevant to educational leaders, curriculum/program designers, and technology specialists. In this course, students will critically examine a variety of current evaluation models, instruments, and resources. Students will also conduct a comprehensive analysis of a significant evaluation study relevant to their specific professional interest. Registration is restricted to students in Advanced Master's programs."
10529,IS,485,"REQUIREMENTS ELICITATION, ANALYSIS, AND SPECIFICATION","This course focuses on the concepts and skills needed to elicit, analyze, specify, and manage requirements for a software or systems level project. Students will learn to identify and work with stakeholders through conducting a variety of requirements gathering techniques including interviewing, surveying, ethnography, and Joint Application Design (JAD) sessions, to identify and analyze requirements conflicts and negotiate solutions,  to model requirements and specify them in unambiguous ways, and to manage requirements throughout the software lifecycle using change controls, traceability, and impact analysis techniques.  The requirements process will be examined in both traditional and agile environments. Current topics such as requirements for product lines or distributed development teams will also be explored as time permits.   A student may not take both SE 482 and IS 485 for credit toward a degree. PREREQUISITE(S): IS 422 or IS 430 or PM 430."
1984,CS,487,INTRODUCTION TO CURRICULUM DELIBERATION,"An introduction to systematic and collaborative deliberation on curriculum problems. A pattern for deliberation (including situation analysis, problem discrimination and formulation, development of alternative courses of action, and anticipation of consequences) will be developed and exemplified.  This pattern will be contrasted with other descriptions of curriculum planning.  Each student will complete a project which describes his/her systematic formulation of a curriculum problem and a plan of action for resolving it."
1985,CS,488,CURRICULUM DESIGN,"Provides a project-based opportunity to develop curriculum that promotes student understanding, student voice, and student involvement in school or community change. Encourages educators to think carefully about what does and should constitute the curriculum and why, who and what is served and who/what is marginalized by current curriculum arrangements, and how collaboration in curriculum design can assist in organizing classrooms, schools, and communities."
